R-Card Office iPad1,2/11/2019 12:51,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7202985
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7202994
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7203123
R-Card Office iPad1,2/11/2019 12:58,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203136
R-Card Office iPad1,2/11/2019 13:14,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203138
R-Card Office iPad1,2/11/2019 13:16,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203141
R-Card Office iPad1,2/11/2019 13:17,Retail Sale Transaction Amount: $0.01,Retail Transaction ID: 7203356
R-Card Office iPad2,2/11/2019 13:21,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7203406
R-Card Office iPad1,2/11/2019 13:38,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7203412
R-Card Office iPad1,2/11/2019 13:44,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203433
R-Card Office iPad1,2/11/2019 13:53,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203454
R-Card Office iPad1,2/11/2019 13:54,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203460
R-Card Office iPad1,2/11/2019 14:04,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7203475
R-Card Office iPad1,2/11/2019 14:05,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7203515
R-Card Office iPad3,2/12/2019 11:30,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7203548
R-Card Office iPad3,2/12/2019 11:31,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7213340
R-Card Office iPad3,2/12/2019 11:31,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7213391
R-Card Office iPad3,2/12/2019 11:43,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7213392
R-Card Office iPad3,2/12/2019 11:47,Retail Sale Transaction Amount: $20,Retail Transaction ID: 7213394
R-Card Office iPad3,2/12/2019 11:47,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7213495
R-Card Office iPad3,2/12/2019 11:57,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7213514
R-Card Office iPad3,2/12/2019 11:58,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7213551
R-Card Office iPad3,2/12/2019 12:08,Retail Sale Transaction Amount: $7,Retail Transaction ID: 7213604
R-Card Office iPad3,2/12/2019 12:08,Retail Sale Transaction Amount: $27,Retail Transaction ID: 7213642
